gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4463224963,f1537df5-8930-4ba4-afa4-bdd553a8b809,urn:uuid:39359b9d-3a64-4f03-9db0-7dd2e4020920,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Brachypodium,Brachypodium sylvaticum,,SPECIES,Brachypodium sylvaticum (Huds.) P.Beauv.,Brachypodium sylvaticum,(Huds.) P. Beauv.,US,"McDonald State Forest, about 150- 200 feet from the Oak Creek entrance.",Oregon,PRESENT,,6567af74-d231-4588-a123-5d0b7a095fda,44.603821,-123.332176,,,,,,,7/10/07,10,7,2007,5290146,5290146,PRESERVED_SPECIMEN,HAH,Vascular,2015-014/1,,Erin L. Riggs,2007-07-10T00:00:00,CC0_1_0,Hoyt Arboretum and Herbarium,Erin L. Riggs,,,2025-10-08T03:56:26.554Z,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4463224957,f1537df5-8930-4ba4-afa4-bdd553a8b809,urn:uuid:4fa31dc7-569d-43eb-b31a-57de6fc48ae5,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Arundo,Arundo donax,,SPECIES,Arundo donax L.,Arundo donax,L.,US,N. Michigan- N. Mississippi alley.  Intersection of this alley and Skidmore.,Oregon,PRESENT,,6567af74-d231-4588-a123-5d0b7a095fda,45.554561,-122.676108,,,,,,,4/13/13,13,4,2013,2703041,2703041,PRESERVED_SPECIMEN,HAH,Vascular,2013-115/3,,Erin L. Riggs,2013-12-27T00:00:00,CC0_1_0,Hoyt Arboretum and Herbarium,Erin Riggs,,,2025-10-08T03:56:26.554Z,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4463224956,f1537df5-8930-4ba4-afa4-bdd553a8b809,urn:uuid:66da205b-7bb5-4357-8a4d-8731ad347875,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer miyabei,miaotaiense,SUBSPECIES,Acer miyabei subsp. miaotaiense (P.C.Tsoong) A.E.Murray,Acer miyabei  miaotaiense,,CN,Mountain Tian Shui.,,PRESENT,,6567af74-d231-4588-a123-5d0b7a095fda,35.066667,106,,,1450,150,,,,,,,8360396,7263019,PRESERVED_SPECIMEN,HAH,Vascular,2003-539/5,,Erin L. Riggs,2011-05-13T00:00:00,CC0_1_0,Hoyt Arboretum and Herbarium,,,,2025-10-08T03:56:26.554Z,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4463224953,f1537df5-8930-4ba4-afa4-bdd553a8b809,urn:uuid:634cd48d-50f5-4f5f-9d7f-0b0f08eb0767,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium trifidum,,SPECIES,Galium trifidum L.,Galium trifidum,L.,US,"From Kelly pt pk intersection at N Marine Dr and N Lombard, park at lot on Kelly pt. Park Rd nearest Lombard. Walk S about 1.25km on multiuser path. Plants along path.",Oregon,PRESENT,,6567af74-d231-4588-a123-5d0b7a095fda,45.629044,-122.759381,,,,,,,9/10/10,10,9,2010,2913365,2913365,PRESERVED_SPECIMEN,HAH,Vascular,2015-385/1,,Erin L. Riggs,2010-09-10T00:00:00,CC0_1_0,Hoyt Arboretum and Herbarium,Erin L. Riggs,,,2025-10-08T03:56:26.552Z,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4463224952,f1537df5-8930-4ba4-afa4-bdd553a8b809,urn:uuid:a9218733-8b6c-412a-8f56-12f23be0843c,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Matricaria,Matricaria discoidea,,SPECIES,Matricaria discoidea DC.,Matricaria discoidea,DC.,US,"Hoyt Arboretum: Collected about 2m northeast off of the Wildwood Trail, where crosses a Connector Trail, approximately 100 m north of Vietnam Veterans Memorial. In weedy understory of Pseudotsuga menziesii, with Hedera sp. and Polystichum munitum.",Oregon,PRESENT,,6567af74-d231-4588-a123-5d0b7a095fda,45.512648,-122.719645,,,790,,,,6/27/18,27,6,2018,3103791,3103791,PRESERVED_SPECIMEN,HAH,Vascular,2018-219/1,,Mandy Tu,2018-07-31T00:00:00,CC0_1_0,Hoyt Arboretum and Herbarium,Mandy Tu,,,2025-10-08T03:56:26.550Z,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4463224948,f1537df5-8930-4ba4-afa4-bdd553a8b809,urn:uuid:db082105-6eeb-4753-ba75-82f6fc048723,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,Bromus tectorum,,SPECIES,Bromus tectorum L.,Bromus tectorum,L.,US,"Smith and Bybee Lake Wetland Natural Area. 5357 N Marine Dr. From Interlaked Trail parking lot walk 150m E. along train bed, Bromus is all over.",Oregon,PRESENT,,6567af74-d231-4588-a123-5d0b7a095fda,45.615343,-122.715676,,,8,,,,6/30/15,30,6,2015,2703746,2703746,PRESERVED_SPECIMEN,HAH,Vascular,2015-056/1,,Erin L. Riggs,2007-06-30T00:00:00,CC0_1_0,Hoyt Arboretum and Herbarium,Erin L. Riggs,,,2025-10-08T03:56:26.549Z,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4463224947,f1537df5-8930-4ba4-afa4-bdd553a8b809,urn:uuid:aa95853c-1c36-46d1-9dad-480e47da9408,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Scirpus,Scirpus cyperinus,,SPECIES,Scirpus cyperinus (L.) Kunth,Scirpus cyperinus,(L.) Kunth,US,"Howell Lake Territorial Park,  From Sauvie island Bridge Drive N. about 1 kilometer to 13901 NW Howell Park Road.  Collected in wetland behind the house.",Oregon,PRESENT,,6567af74-d231-4588-a123-5d0b7a095fda,45.645218,-122.815134,,,,,,,8/10/10,10,8,2010,2720171,2720171,PRESERVED_SPECIMEN,HAH,Vascular,2015-039/2,,Erin L. Riggs,2010-08-12T00:00:00,CC0_1_0,Hoyt Arboretum and Herbarium,Erin L. Riggs,,,2025-10-08T03:56:26.549Z,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4463224939,f1537df5-8930-4ba4-afa4-bdd553a8b809,urn:uuid:161746cf-4040-4dc8-b72d-2f1bc86179b5,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex pendula,,SPECIES,Carex pendula Huds.,Carex pendula,Huds.,US,"Urban backyard, 3515 SE 157th ave. Portland, OR.",Oregon,PRESENT,,6567af74-d231-4588-a123-5d0b7a095fda,45.497229,-122.503178,,,77,,,,5/5/15,5,5,2015,2722051,2722051,PRESERVED_SPECIMEN,HAH,Vascular,2015-322/6,,Erin L. Riggs,2015-05-05T00:00:00,CC0_1_0,Hoyt Arboretum and Herbarium,Erin L. Riggs,,,2025-10-08T03:56:26.536Z,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4463224938,f1537df5-8930-4ba4-afa4-bdd553a8b809,urn:uuid:2f50b697-ca75-4a2e-87a0-812b1c7959a1,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Montiaceae,Claytonia,Claytonia exigua,,SPECIES,Claytonia exigua Douglas ex Torr. & A.Gray,Claytonia exigua,Douglas ex Torr. & A. Gray,US,"Elk Rock Island, near City of Milwaukie, OR.",Oregon,PRESENT,,6567af74-d231-4588-a123-5d0b7a095fda,45.433737,-122.663007,,,35,,,,4/19/13,19,4,2013,3084730,3084730,PRESERVED_SPECIMEN,HAH,Vascular,2016-202/1,,Erin L. Riggs,2013-04-19T00:00:00,CC0_1_0,Hoyt Arboretum and Herbarium,Erin L. Riggs,,,2025-10-08T03:56:26.536Z,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4463224934,f1537df5-8930-4ba4-afa4-bdd553a8b809,urn:uuid:11e680e4-cdce-4bb4-8d62-1e6dbf3820b8,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Anthriscus,Anthriscus caucalis,,SPECIES,Anthriscus caucalis M.Bieb.,Anthriscus caucalis,M. Bieb.,US,"Portland:Smith and Bybee Lakes Natual Area. Park at Marine Drive entrance, nearest address 5302-6100 N Marine Dr. From interlakes Tr. Head walk SW @ 75m. Turn to E walk about 50m. look around in underbrush.",Oregon,PRESENT,,6567af74-d231-4588-a123-5d0b7a095fda,45.617992,-122.723139,,,13,,,,7/5/11,5,7,2011,5371743,5371743,PRESERVED_SPECIMEN,HAH,Vascular,2016-014/1,,Erin L. Riggs,2013-01-06T00:00:00,CC0_1_0,Hoyt Arboretum and Herbarium,Erin L. Riggs,,,2025-10-08T03:56:26.534Z,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
